recipe_id,isValid
56687797,true
47995499,false
21337269,false
13224727,true
38052352,false
79648461,true
87262239,false
72389892,true
45311537,true
36604958,false
12129335,false
15631050,false
18349695,false
32045413,true
75846340,true
32735587,false
36165302,true
39380381,true
13594622,false
38519043,true
88727197,true
31044957,true
43558171,false
28671767,false
47380401,false
67719866,false
24397781,false
12401943,false
41659472,false
16521083,false
83520304,false
88139794,true
26172979,true
52110038,true
73533166,true
36783701,false
24656266,false
12020305,true
63372605,false
43571672,false
11960756,false
14026906,false
89187484,true
28554844,true
58998756,true
96394551,false
92547445,false
73671670,false
15503435,false
29877549,false
41882203,true
21098453,true
31808705,true
47944694,false
32802010,false
76816448,false
14543374,false
35611571,false
37797748,true
33737943,true
41858323,true
77693804,false
13671287,false
65978061,true
72946134,false
54445695,false
36740829,true
16261213,true
41022214,true
51211339,false
52636597,true
44344729,true
41668440,true
11995918,true
57893811,true
78497769,true
33621513,true
31705288,true
23889091,true
54623011,true
51817241,true
54197114,true
11560177,true
21840039,true
43055862,true
52310952,true
76098219,true
59529902,true
31763144,true
27084831,false
23553868,true
22212935,false
11518718,true
15766739,true
21850064,false
47855891,false
19343533,false
46200901,true
34332991,true
33939170,true
42871492,true
77593223,true
11958381,true
16368413,true
56347300,false
13185078,false
21900789,true
59996154,true
49954934,true
68581952,true
41402821,true
39349061,true
62308373,false
27910570,true
47239154,false
51245091,false
55470356,true
51271493,true
32451842,true
45055651,true
79862421,true
78607005,false
87613923,true
44849691,true
17808242,false
32740798,true
44638981,false
52800556,true
24414041,true
59911849,true
77316462,true
24966328,true
57957403,true
97012412,true
58689996,true
13827892,true
93285708,false
16967949,false
49716255,false
51230917,false
11421485,false
26428948,false
53688910,false
53934675,false
43847136,true
46464469,true
58197336,true
32541112,false
43703274,true
39486490,true
56185630,true
41222300,true
51573019,false
31786177,false
47628355,false
39732261,false
25846831,false
36641669,false
13193465,false
29435561,true
37540855,true
54512224,true
24209089,true
89712731,true
51972101,true
54119994,false
59723340,true
56981696,false
24836149,true
41001131,false
42283584,false
31627506,false
22051813,true
35664950,true
15889336,true
36831172,true
46894307,true
42796327,false
54883139,false
69122830,false
95221372,false
59972414,false
12135406,true
32333119,true
97939669,true
34318099,true
18526088,false
18223963,true
11280383,true
29997332,false
44255932,true
41601021,true
64617763,true
21950302,false
57385446,true
53994102,false
29364036,false
47005872,false
24664917,true
15814310,false
44486626,false
57536250,true
31672937,false
11212874,true
38650813,false
41870631,false
18857109,false
51059453,false
36836006,false
31347513,false
78774553,true
29677948,true
34956537,false
39143334,true
75081934,true
27996869,true
21092924,false
21845457,false
64519129,true
19005321,true
69589133,true
39727403,true
98671012,false
45416463,true
18710582,true
41550796,false
39749216,true
56979439,true
19098982,true
51552228,false
97448435,false
29666857,false
17107871,false
22610288,false
22563510,false
15642486,false
68530235,false
24023386,true
22516630,false
46943655,false
97070243,false
17035545,false
54895918,true
25278819,false
22571395,false
58431030,true
22060153,true
18242118,true
46565588,false
57034603,false
65434445,true
43684341,true
94120874,true
53847141,false
77527405,false
22233382,false
59962365,true
86592271,false
19670543,false
21892571,false
46204117,false
23558514,false
17762900,true
38883636,false
43831482,true
23343233,false
29998058,true
79029286,true
11409667,false
79156487,false
54124236,false
87857098,false
37020726,false
41136986,false
51623270,true
16285821,false
47760330,true
21149650,true
32653468,false
31230824,false
51738459,false
56931002,false
13793566,true
27261095,false
28290210,true
94340487,false
62399011,false
41168071,false
14300245,false
15082641,false
41742485,true
99580715,true
