id,customer_id,product_id,session_id,recipe_id,imaging_strategy,quantity,currency,timestamp,price,link
34709530,1622,25141,039f9c16-9ec6-4d4e-b5e8-ccae01c708ea,11953780,webGL,1,USD,2022-12-01 18:43:14,90,https://cdn-prod.fluidconfigure.com/api/recipe/11953780?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
34710331,1622,25141,039f9c16-9ec6-4d4e-b5e8-ccae01c708ea,14716275,webGL,1,USD,2022-12-01 19:13:02,90,https://cdn-prod.fluidconfigure.com/api/recipe/14716275?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
34710955,1622,25141,039f9c16-9ec6-4d4e-b5e8-ccae01c708ea,19727674,webGL,1,USD,2022-12-01 19:35:37,90,https://cdn-prod.fluidconfigure.com/api/recipe/19727674?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
33785162,1622,25141,03bae645-c03a-47fe-9c18-d84b09e315bc,56080247,webGL,1,USD,2022-11-08 16:05:42,0,https://cdn-prod.fluidconfigure.com/api/recipe/56080247?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
34684724,1622,25141,04ffb20a-6460-4f11-9780-5c8184f0fa13,38832450,webGL,1,USD,2022-11-30 19:24:05,98.25,https://cdn-prod.fluidconfigure.com/api/recipe/38832450?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
34684742,1622,25141,04ffb20a-6460-4f11-9780-5c8184f0fa13,73296420,webGL,1,USD,2022-11-30 19:24:32,107.75,https://cdn-prod.fluidconfigure.com/api/recipe/73296420?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
34699011,1622,25141,0a949318-3ff3-4798-b721-20a9563a9fd1,28566651,webGL,1,USD,2022-12-01 9:43:01,90,https://cdn-prod.fluidconfigure.com/api/recipe/28566651?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
34699124,1622,25141,0a949318-3ff3-4798-b721-20a9563a9fd1,18634825,webGL,1,USD,2022-12-01 9:56:03,90,https://cdn-prod.fluidconfigure.com/api/recipe/18634825?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
34819853,1622,25141,0ef2041c-cbf0-4d93-bc90-941068e58ca0,32664382,webGL,1,USD,2022-12-05 15:23:45,90,https://cdn-prod.fluidconfigure.com/api/recipe/32664382?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
33923745,1622,25141,18377956-41c7-4942-89b4-8619b2951a3c,27367683,webGL,1,USD,2022-11-15 1:48:26,0,https://cdn-prod.fluidconfigure.com/api/recipe/27367683?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
33964394,1622,25141,1df09019-0207-4bff-b8f9-b314413ffcf8,37227353,webGL,1,USD,2022-11-16 21:41:34,90,https://cdn-prod.fluidconfigure.com/api/recipe/37227353?apiKey=ADIDAS-ZFzVhet0y8DeOoIYqDCG1p3
